Restaurant,Category,SubCategory,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Burger King,Condiment,Sauce,Barbecue Dipping Sauce (1 oz),40,0,0,0,0,0,310,11,0,10,0
Burger King,Condiment,Sauce,Buffalo Dipping Sauce (1 oz),80,70,8,2,0,5,360,2,0,1,0
Burger King,Condiment,Sauce,Honey Mustard Dipping Sauce (1 oz),90,60,6,1,0,10,180,8,0,7,0
Burger King,Condiment,Sauce,Ketchup,10,0,0,0,0,0,125,3,0,2,0
Burger King,Condiment,Sauce,Mayonnaise,80,80,9,1,0,10,75,1,0,0,0
Burger King,Condiment,Sauce,Ranch Dipping Sauce (1 oz),140,130,15,3,0,5,230,1,0,1,1
Burger King,Condiment,Sauce,Zesty Onion Ring Dipping Sauce (1 oz),150,140,15,3,0,15,210,3,1,2,0
Burger King,Condiment,Syrup,Breakfast Syrup (1 oz),120,0,0,0,0,0,15,30,0,18,0
Burger King,Condiment,Syrup,Strawberry or Grape Jam (packet),30,0,0,0,0,0,0,7,0,6,0
Burger King,Condiment,Vegetable,Pickles (2),0,0,0,0,0,0,100,0,0,0,0
Burger King,Dessert,Cookie,Butter Sugar Cookie,160,60,7,3.5,0,15,135,22,0,12,2
Burger King,Dessert,Cookie,Carnival Cookie,160,60,7,3,0,10,120,22,1,14,2
Burger King,Dessert,Cookie,Chocolate Chip Cookies (2),330,140,15,8,0,20,250,47,1,29,3
Burger King,Dessert,Cookie,Ginger Spice Cookie,150,45,5,2.5,0,10,135,25,1,13,2
Burger King,Dessert,Cookie,Oatmeal Raisin Cookies (2),310,120,13,8,0,20,260,46,3,26,4
Burger King,Dessert,Cookie,"Red, White & Blue Cookie",160,50,6,3,0,5,125,23,0,14,1
Burger King,Dessert,Cookie,White Chocolate Macadamia Nut Cookies (2),340,160,18,8,0,20,240,44,0,28,4
Burger King,Dessert,Ice Cream,Caramel Ice Cream Sundae,280,60,6,4,0,20,250,52,0,37,5
Burger King,Dessert,Ice Cream,Chocolate Fudge Ice Cream Sundae,280,60,7,5,0,15,220,50,1,43,6
Burger King,Dessert,Ice Cream,HERSHEY'S Ice Cream Sundae Pie,300,160,18,12,0,10,210,31,1,22,3
Burger King,Dessert,Ice Cream,Soft Serve Ice Cream Cone,160,35,4,3,0,15,130,27,0,20,4
Burger King,Dessert,Ice Cream,Soft Serve Ice Cream Cup,140,35,4,3,0,15,125,23,0,19,4
Burger King,Dessert,Ice Cream,Strawberry Ice Cream Sundae,190,35,4,3,0,15,125,35,0,31,4
Burger King,Dessert,Pastry,Dutch Apple Pie,320,130,14,6,0,0,300,46,1,23,2
Burger King,Dessert,Pastry,Reese's Peanut Butter Cup Pie,310,170,19,10,0,5,200,31,2,21,5
Burger King,Dessert,Pastry,Snickers Pie,300,140,16,9,0,5,230,36,1,25,4
Burger King,Dessert,Shake,Irish Mint Oreo® Shake Large,770,190,21,12,0,65,570,132,1,109,15
Burger King,Dessert,Shake,Irish Mint Oreo® Shake Medium,610,150,17,10,0,50,450,103,1,85,12
Burger King,Dessert,Shake,Irish Mint Oreo® Shake Small,430,110,13,7,0,40,310,72,0,60,9
Burger King,Dessert,Shake,Oreo Shake,570,160,18,12,0.5,30,350,93,1,76,9
Burger King,Dessert,Shake,Red Velvet Oreo® Shake Large,800,190,21,12,0,65,670,138,1,116,15
Burger King,Dessert,Shake,Red Velvet Oreo® Shake Medium,630,150,17,10,0,50,520,108,1,90,12
Burger King,Dessert,Shake,Red Velvet Oreo® Shake Small,450,110,13,7,0,40,360,75,1,63,9
Burger King,Dessert,Slush,Dr Pepper® Shake Large,560,140,16,10,0,65,450,90,0,77,14
Burger King,Dessert,Slush,Dr Pepper® Shake Medium,450,120,13,8,0,50,360,73,0,62,11
Burger King,Dessert,Slush,Dr Pepper® Shake Small,330,90,10,7,0,40,250,52,0,44,8
Burger King,Salad,Salad,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720,450,50,13,0,120,1960,32,5,7,36
Burger King,Salad,Salad,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,590,360,40,12,0,150,1540,18,3,6,42
Burger King,Salad,Salad,Chicken BLT Salad w/ Crispy Chicken,690,430,48,12,1,100,1750,31,4,8,35
Burger King,Salad,Salad,Chicken BLT Salad w/ Grilled Chicken,550,330,37,10,0,115,1640,17,3,5,36
Burger King,Salad,Salad,Chicken Caesar Salad w/ Crispy Chicken,670,380,43,7,0,80,1760,40,5,8,34
Burger King,Salad,Salad,Chicken Caesar Salad w/ Grilled Chicken,530,290,32,5,0,95,1640,26,3,6,35
Burger King,Salad,Salad,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700,370,41,9,0,80,1090,54,5,37,28
Burger King,Salad,Salad,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",560,270,30,7,0,90,980,40,4,34,29
Burger King,Salad,Salad,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450,220,24,7,0,85,1070,30,5,6,29
Burger King,Salad,Salad,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",320,120,14,6,0,115,650,16,2,4,36
Burger King,Salad,Salad,Side Caesar Salad with dressing,220,180,20,4,0,10,540,7,2,3,6
Burger King,Salad,Salad,Side Garden Salad and Avocado Ranch Dressing,230,190,21,5,0,30,520,7,2,3,5
Burger King,Sandwich,Burger,BK VEGGIE Burger,410,150,16,3,0,5,1030,44,7,8,22
Burger King,Sandwich,Burger,Bacon Cheeseburger,330,140,16,7,0,55,830,32,1,7,18
Burger King,Sandwich,Burger,Bacon Cheeseburger Deluxe,290,120,14,6,0.5,40,720,28,1,7,12
Burger King,Sandwich,Burger,Bacon King,1040,630,48,28,2.5,220,1900,48,1,10,57
Burger King,Sandwich,Burger,BBQ Bacon King,1100,620,75,29,3,220,1850,51,1,13,57
Burger King,Sandwich,Burger,Cheeseburger,300,130,14,6,0,45,710,28,1,6,16
Burger King,Sandwich,Burger,Double Bacon Cheeseburger,520,280,31,14,1,105,1180,33,1,8,31
Burger King,Sandwich,Burger,Double Cheeseburger,450,230,26,12,1,95,960,29,1,6,26
Burger King,Sandwich,Burger,Double Hamburger,360,160,18,8,0,70,520,28,1,6,22
Burger King,Sandwich,Burger,Extra Long Cheeseburger,580,300,33,13,1.5,85,1030,45,2,9,26
Burger King,Sandwich,Burger,Hamburger,260,90,10,4,0,35,490,28,1,6,13
Burger King,Sandwich,Burger,Homestyle Cheeseburger,550,250,27,12,1.5,95,1140,48,2,10,30
Burger King,Sandwich,Burger,Rodeo Burger,310,110,13,4,0.5,25,450,38,1,9,9
Burger King,Sandwich,Burger,Bacon & Cheese Whopper,770,432,48,16,2,95,1360,47,2,9,29
Burger King,Sandwich,Burger,DOUBLE WHOPPER w/ Cheese,990,580,65,24,2,160,1480,53,3,11,52
Burger King,Sandwich,Burger,DOUBLE WHOPPER w/o Cheese,900,510,57,19,2,140,1050,51,3,11,47
Burger King,Sandwich,Burger,WHOPPER w/ Cheese,760,430,47,16,1,100,1410,53,3,11,33
Burger King,Sandwich,Burger,WHOPPER w/o Cheese,670,360,40,11,1,75,980,51,3,11,29
Burger King,Sandwich,Burger,WHOPPER JR. w/ Cheese,380,210,23,8,1,55,730,29,2,6,16
Burger King,Sandwich,Burger,WHOPPER JR. w/o Cheese,340,170,19,5,0,40,510,28,2,6,14
Burger King,Sandwich,Chicken,Chicken Burger,480,220,25,2.5,0,5,1160,42,2,10,22
Burger King,Sandwich,Chicken,Crispy Chicken Sandwich,670,340,41,7,0.5,60,1070,54,2,7,23
Burger King,Sandwich,Chicken,Original Chicken Sandwich,630,350,39,7,1,65,1390,46,3,4,24
Burger King,Sandwich,Chicken,Rodeo Crispy Chicken Sandwich,410,150,17,3,0,20,870,53,2,14,12
Burger King,Sandwich,Chicken,Spicy Crispy Chicken Jr.,410,220,25,4.5,0,35,850,35,2,5,12
Burger King,Sandwich,Fish,Big Fish Sandwich,530,250,27,4.5,0,30,1360,54,2,7,17
Burger King,Sandwich,Got Dog,Grilled Hot Dog,310,140,16,6,1,30,960,32,2,10,11
Burger King,Sandwich,Hot Dog,Grilled Chili Cheese Dog,330,170,19,8,1,40,980,28,2,5,14
Burger King,Sandwich,Sandwich,Grilled Chicken Sandwich,470,170,19,3.5,0,85,850,39,2,6,37
Burger King,Sandwich,Wrap,Southwestern Breakfast Burrito,580,320,35,13,0,205,1690,42,4,3,23
Burger King,Side,Bacon,Thick cut bacon,70,50,6,2,0,10,220,0,0,0,4
Burger King,Side,Fries,French Fries Large,500,200,22,4,0,0,710,72,5,0,5
Burger King,Side,Fries,French Fries Medium,410,160,18,3,0,0,570,58,4,0,4
Burger King,Side,Fries,French Fries Small,340,130,15,3,0,0,480,49,4,0,4
Burger King,Side,Fries,French Fries Value,240,90,10,2,0,0,330,34,3,0,2
Burger King,Side,Fries,Satisfries French Fries Large,410,150,17,2.5,0,0,460,62,5,0,5
Burger King,Side,Fries,Satisfries French Fries Medium,340,120,14,2,0,0,370,51,4,0,4
Burger King,Side,Fries,Satisfries French Fries Small,270,100,11,1.5,0,0,300,41,3,0,4
Burger King,Side,Fries,Satisfries French Fries Value,190,70,8,1,0,0,210,28,2,0,2
Burger King,Side,Fruit,BK Fresh Apple Slices,25,0,0,0,0,0,0,6,1,5,0
Burger King,Side,Fruit,Motts' Harvest Plus Applesauce,50,0,0,0,0,0,0,13,1,11,0
Burger King,Side,Mozzarella Sticks,Mozzarella Sticks (4 pc),280,140,15,5,0,35,650,24,2,2,11
Burger King,Side,Onion Rings,Onion Rings Large,500,230,25,5,0,0,1310,64,5,7,5
Burger King,Side,Onion Rings,Onion Rings Medium,410,190,21,4,0,0,1080,53,4,5,4
Burger King,Side,Onion Rings,Onion Rings Small,320,150,16,3,0,0,840,41,3,4,3
Burger King,Side,Onion Rings,Onion Rings Value,150,70,8,2,0,0,400,19,1,2,1
Burger King,Side,Other,Mac 'n Cheetos,310,120,13,4.5,0,15,710,37,2,9,9
Burger King,Side,Potato,Cheesy Tots,310,140,15,1,0,0,780,34,3,0,9
Carl's Jr,Beverage,Shake,Chocolate Malt,760,320,35,24,1.5,100,360,98,1,80,16
Carl's Jr,Beverage,Shake,Chocolate Shake,690,310,34,24,1.5,100,310,84,1,69,15
Carl's Jr,Beverage,Shake,OREO® Cookie Malt,790,350,39,25,1.5,105,420,94,1,74,17
Carl's Jr,Beverage,Shake,OREO® Cookie Shake,720,340,38,25,1.5,100,370,79,1,63,16
Carl's Jr,Beverage,Shake,Strawberry Malt,760,310,35,24,1.5,100,310,97,0,84,15
Carl's Jr,Beverage,Shake,Strawberry Shake,690,310,34,23,1.5,100,260,83,0,73,14
Carl's Jr,Beverage,Shake,Vanilla Malt,770,310,35,24,1.5,100,300,100,0,86,15
Carl's Jr,Beverage,Shake,Vanilla Shake,700,310,34,23,1.5,100,260,86,0,74,14
Carl's Jr,Breakfast,Biscuit,Biscuit 'N' Gravy™,450,220,24,12,0,10,1320,50,3,3,9
Carl's Jr,Breakfast,Biscuit,Made From Scratch Biscuit™,290,120,13,7,0,0,730,37,2,2,6
Carl's Jr,Breakfast,Potato,Hash Brown Nuggets Large,560,330,37,7,0,0,710,52,5,0,5
Carl's Jr,Breakfast,Potato,Hash Brown Nuggets Medium,390,230,26,4.5,0,0,490,36,4,0,3
Carl's Jr,Breakfast,Potato,Hash Brown Nuggets Small,350,210,23,4,0,0,440,32,3,0,3
Carl's Jr,Breakfast,Sandwich,Bacon & Egg Burrito,500,240,27,12,0,355,1010,36,1,0,27
Carl's Jr,Breakfast,Sandwich,"Bacon, Egg & Cheese Biscuit",440,220,25,12,0,180,1140,37,2,2,16
Carl's Jr,Breakfast,Sandwich,Big Country® Breakfast Burrito,690,340,38,13,0,355,1600,55,6,3,29
Carl's Jr,Breakfast,Sandwich,Breakfast Burger™,790,360,40,15,1,235,1480,69,4,14,37
Carl's Jr,Breakfast,Sandwich,Grilled Cheese Breakfast Sandwich Bacon,510,270,30,15,0.5,215,1290,39,1,4,26
Carl's Jr,Breakfast,Sandwich,Grilled Cheese Breakfast Sandwich Ham,490,230,25,13,0.5,220,1650,40,1,4,29
Carl's Jr,Breakfast,Sandwich,Grilled Cheese Breakfast Sandwich Sausage,640,380,43,19,0.5,235,1500,40,2,4,30
Carl's Jr,Breakfast,Sandwich,Loaded Breakfast Burrito,730,380,42,16,0,370,1540,51,3,2,34
Carl's Jr,Breakfast,Sandwich,Monster Biscuit®,730,450,50,22,0,375,1790,38,2,3,31
Carl's Jr,Breakfast,Sandwich,"Sausage, Egg & Cheese Biscuit",580,350,39,17,0,200,1390,38,2,3,20
Carl's Jr,Chicken,Chicken,Charbroiled Santa Fe Chicken™ Sandwich,570,250,28,7,0,90,1280,46,3,10,32
Carl's Jr,Chicken,Nuggets,Chicken Stars™ 4 Piece,170,90,10,2,0,20,360,12,1,0,8
Carl's Jr,Chicken,Nuggets,Chicken Stars™ 6 Piece,260,140,16,3.5,0,30,540,18,2,0,12
Carl's Jr,Chicken,Nuggets,Chicken Stars™ 9 Piece,390,210,23,5,0,45,810,26,3,0,18
Carl's Jr,Chicken,Tender,Hand-Breaded Chicken Tenders™ 3 Piece,260,110,13,2.5,0,70,770,13,2,0,25
Carl's Jr,Chicken,Tender,Hand-Breaded Chicken Tenders™ 5 Piece,440,190,21,4.5,0,115,1290,21,3,0,41
Carl's Jr,Chicken,Tender,Kid's Hand-Breaded Chicken Tenders™ (2 pieces),180,80,9,2,0,45,520,9,1,0,16
Carl's Jr,Condiment,Dressing,Blue Cheese Dressing,320,310,34,7,0,20,410,1,0,1,2
Carl's Jr,Condiment,Sauce,Buttermilk Ranch Dipping Sauce,200,190,21,3.5,0,15,300,2,0,1,1
Carl's Jr,Condiment,Sauce,Honey Mustard Dipping Sauce,180,170,18,3,0,15,190,6,0,5,0
Carl's Jr,Condiment,Dressing,House Dressing,220,200,22,3.5,0,20,440,3,0,2,1
Carl's Jr,Condiment,Dressing,Low Fat Balsamic Vinaigrette Dressing,35,15,2,0,0,0,480,5,0,3,0
Carl's Jr,Condiment,Sauce,Sweet & Bold BBQ Dipping Sauce,70,0,0,0,0,0,560,15,1,10,1
Carl's Jr,Dessert,Cookie,Chocolate Cake,300,110,12,3,0,30,350,48,1,36,3
Carl's Jr,Dessert,Cookie,Chocolate Chip Cookies (2),240,90,10,4,0,20,320,36,0,20,2
Carl's Jr,Dessert,Pastry,Strawberry Swirl Cheesecake,290,140,16,9,0,55,230,32,0,21,6
Carl's Jr,Salad,Salad,Charbroiled Chicken Salad,320,100,11,3.5,0,75,770,27,3,10,31
Carl's Jr,Salad,Salad,Side Salad,120,50,5,1.5,0,5,230,14,1,3,4
Carl's Jr,Sandwich,Burger,All-Natural Burger Double,1030,580,64,23,1.5,170,1310,62,3,19,53
Carl's Jr,Sandwich,Burger,All-Natural Burger Single,760,400,44,13,1,90,1040,61,3,19,31
Carl's Jr,Sandwich,Burger,Big Hamburger,490,160,18,8,0.5,50,1000,59,3,15,25
Carl's Jr,Sandwich,Burger,Budweiser Beer Cheese Bacon Burger Double,940,490,55,24,2,155,1800,52,3,12,60
Carl's Jr,Sandwich,Burger,Budweiser Beer Cheese Bacon Burger Single,710,340,38,16,1,85,1430,51,3,11,40
Carl's Jr,Sandwich,Burger,Double Western Bacon Cheeseburger®,1000,480,54,24,1.5,145,1840,75,4,15,53
Carl's Jr,Sandwich,Burger,Famous Star® with Cheese,670,340,37,13,1,75,1210,57,3,12,28
Carl's Jr,Sandwich,Burger,Guacamole Bacon Thickburger® 1/2 lb,1210,800,89,31,3,160,1910,57,4,14,43
Carl's Jr,Sandwich,Burger,Guacamole Bacon Thickburger® 1/3 lb,990,610,68,19,2,110,1720,56,4,13,32
Carl's Jr,Sandwich,Burger,Kid's Cheeseburger,340,140,15,7,0.5,40,860,35,1,8,14
Carl's Jr,Sandwich,Burger,Kid's Hamburger,280,90,10,3.5,0.5,25,580,34,1,8,11
Carl's Jr,Sandwich,Burger,Low Carb Thickburger® 1/2 lb,670,500,56,24,3,140,1310,9,1,5,33
Carl's Jr,Sandwich,Burger,Low Carb Thickburger® 1/3 lb,450,310,34,13,1.5,85,1060,9,1,5,22
Carl's Jr,Sandwich,Burger,Original Six Dollar Thickburger® 1/2 lb,1050,650,72,27,3,150,1820,62,3,20,40
Carl's Jr,Sandwich,Burger,Original Six Dollar Thickburger® 1/3 lb,830,460,51,16,2,95,1560,62,3,19,29
Carl's Jr,Sandwich,Burger,Super Bacon Thickburger 1/3 lb,960,560,63,20,2,130,1930,55,3,13,40
Carl's Jr,Sandwich,Burger,Super Bacon Thickburger 1/4 lb,1180,760,84,32,3,180,2190,55,3,13,51
Carl's Jr,Sandwich,Burger,Super Star® with Cheese,940,510,57,23,2,145,1550,59,3,13,48
Carl's Jr,Sandwich,Burger,Teriyaki Burger™,630,260,28,11,1,65,1040,64,3,19,28
Carl's Jr,Sandwich,Burger,The Big Carl®,930,520,58,23,2,145,1390,55,3,12,47
Carl's Jr,Sandwich,Burger,Thickburger El Diablo 1/2 LB,1270,760,84,32,3,155,2630,79,4,13,47
Carl's Jr,Sandwich,Burger,Thickburger El Diablo 1/3 LB,1050,570,63,21,2,105,2440,79,4,13,37
Carl's Jr,Sandwich,Burger,Western Bacon Cheeseburger®,740,310,34,14,1,80,1500,74,4,15,33
Carl's Jr,Sandwich,Burger,Western Bacon Thickburger® 1/2 lb,1090,620,69,28,3,145,2150,74,3,17,44
Carl's Jr,Sandwich,Burger,Western Bacon Thickburger® 1/3 lb,870,430,47,17,2,95,1890,74,3,17,33
Carl's Jr,Sandwich,Burger,Jalapeno Turkey Burger,490,200,22,6,0,90,1190,43,3,9,32
Carl's Jr,Sandwich,Burger,Teriyaki Turkey Burger,470,120,14,5,0,80,1100,55,3,18,32
Carl's Jr,Sandwich,Burger,Turkey Burger,490,200,22,4.5,0,80,960,45,3,10,29
Carl's Jr,Sandwich,Chicken,Bacon Swiss Crispy Chicken® Sandwich,860,440,49,11,0.5,105,2540,67,4,12,41
Carl's Jr,Sandwich,Chicken,Big Chicken Fillet Sandwich,580,260,28,8,0,90,1290,46,2,11,36
Carl's Jr,Sandwich,Chicken,Charbroiled BBQ Chicken™ Sandwich,390,70,7,1.5,0,60,990,50,3,13,30
Carl's Jr,Sandwich,Chicken,Charbroiled Chicken Club™ Sandwich,580,250,27,7,0,90,1270,45,2,10,36
Carl's Jr,Sandwich,Chicken,Spicy Chicken Sandwich,460,220,24,4.5,0,30,1360,47,4,5,14
Carl's Jr,Sandwich,Fish,Charbroiled Atlantic Cod Fish Sandwich,420,130,15,2.5,0,40,800,51,3,8,20
Carl's Jr,Sandwich,Fish,Redhook Beer-battered Cod Fish Sandwich,550,170,19,3.5,0,45,1140,74,3,12,21
Carl's Jr,Side,Fries,CrissCut® Fries,450,260,29,5,0,0,900,42,4,0,5
Carl's Jr,Side,Fries,Natural-Cut Fries Kids,240,100,12,2,0,0,480,31,3,0,3
Carl's Jr,Side,Fries,Natural-Cut Fries Large,460,200,22,4,0,0,920,59,6,0,5
Carl's Jr,Side,Fries,Natural-Cut Fries Medium,430,190,21,4,0,0,860,55,5,0,5
Carl's Jr,Side,Fries,Natural-Cut Fries Small,300,130,15,2.5,0,0,600,39,4,0,3
Carl's Jr,Side,Onion ring,Onion Rings,530,250,28,4.5,0,0,590,61,3,6,8
Carl's Jr,Side,Vegetable,Fried Zucchini,330,160,18,3,0,0,610,36,2,7,6
Carl's Jr,Side,Vegetable,Jalapeno Poppers®,370,170,19,7,0,25,1110,40,3,4,9
Chick-fil-a,Beverage,Coffee,Coffee Large,5,0,0,0,0,0,10,0,0,0,1
Chick-fil-a,Beverage,Coffee,Coffee Medium,5,0,0,0,0,0,10,0,0,0,1
Chick-fil-a,Beverage,Coffee,Coffee Small,5,0,0,0,0,0,5,0,0,0,0
Chick-fil-a,Beverage,Coffee,Iced Coffee Large,180,27,3,2,0,10,85,33,0,31,6
Chick-fil-a,Beverage,Coffee,Iced Coffee Small,150,27,3,1.5,0,10,70,26,0,25,5
Chick-fil-a,Beverage,Coffee,Vanilla Iced Coffee Large,200,27,3,2,0,10,85,38,0,35,6
Chick-fil-a,Beverage,Coffee,Vanilla Iced Coffee Small,160,27,3,1.5,0,10,70,30,0,28,5
Chick-fil-a,Beverage,Iced Tea,Sweet Tea (small),90,0,0,0,0,0,5,24,0,24,0
Chick-fil-a,Beverage,Iced Tea,Unsweetened Iced Tea Large,0,0,0,0,0,0,20,0,0,0,0
Chick-fil-a,Beverage,Iced Tea,Unsweetened Iced Tea Medium,0,0,0,0,0,0,10,0,0,0,0
Chick-fil-a,Beverage,Juice,Diet Lemonade (small),15,0,0,0,0,0,10,6,0,2,0
Chick-fil-a,Beverage,Juice,Lemonade (small),170,0,0,0,0,0,5,46,0,43,0
Chick-fil-a,Beverage,Juice,Minute Maid Apple Juice Box,90,0,0,0,0,0,15,20,0,19,0
Chick-fil-a,Beverage,Juice,Simply Orange Juice,160,0,0,0,0,0,0,38,2,35,3
Chick-fil-a,Beverage,Juice,Milk,90,18,2,1.5,0,10,95,11,0,11,7
Chick-fil-a,Beverage,Shake,Peppermint Chocolate Chip Milkshake Large,910,261,29,19,0,85,520,146,1,124,15
Chick-fil-a,Beverage,Shake,Peppermint Chocolate Chip Milkshake Small,660,207,23,14,0,70,400,103,1,89,12
Chick-fil-a,Beverage,Shake,Strawberry Milkshake Large,770,250,28,16,0,95,530,118,1,106,16
Chick-fil-a,Beverage,Shake,Strawberry Milkshake Small,610,200,23,13,0,75,410,93,1,85,13
Chick-fil-a,Beverage,Shake,Vanilla Milkshake Large,660,250,27,16,0,95,510,91,0,90,16
Chick-fil-a,Beverage,Shake,Vanilla Milkshake Small,550,200,23,13,0,75,400,75,0,75,13
Chick-fil-a,Beverage,Slush,Frosted Lemonade Diet,240,54,6,3.5,0,20,160,41,0,39,6
Chick-fil-a,Beverage,Slush,Frosted Lemonade Regular,330,54,6,3.5,0,20,160,65,0,63,6
Chick-fil-a,Beverage,Soda,Coca-Cola Classic (small),120,0,0,0,0,0,10,35,0,35,0
Chick-fil-a,Beverage,Soda,Diet Coke Large,0,0,0,0,0,0,80,0,0,0,0
Chick-fil-a,Beverage,Soda,Diet Coke Medium,0,0,0,0,0,0,55,0,0,0,0
Chick-fil-a,Beverage,Soda,Diet Coke Small,0,0,0,0,0,0,40,0,0,0,0
Chick-fil-a,Beverage,Soda,Dr Pepper Large,130,0,0,0,0,0,45,35,0,35,0
Chick-fil-a,Beverage,Soda,Dr Pepper Medium,130,0,0,0,0,0,45,35,0,35,0
Chick-fil-a,Beverage,Soda,Dr Pepper Small,130,0,0,0,0,0,45,35,0,35,0
Chick-fil-a,Beverage,Soda,Sprite Large,260,0,0,0,0,0,55,65,0,57,0
Chick-fil-a,Beverage,Soda,Sprite Medium,170,0,0,0,0,0,40,44,0,39,0
Chick-fil-a,Beverage,Soda,Sprite Small,130,0,0,0,0,0,30,32,0,29,0
Chick-fil-a,Breakfast,Biscuit,Hot Buttered Biscuit,310,120,14,7,0,0,700,41,2,5,5
Chick-fil-a,Breakfast,Bread,Sunflower Multigrain Bagel,220,25,3,1,0,0,350,41,2,6,7
Chick-fil-a,Breakfast,Meal,Bacon Platter,600,297,33,12,0,355,1600,52,2,6,23
Chick-fil-a,Breakfast,Meal,Sausage Platter,810,486,54,20,0,385,1850,52,2,6,28
Chick-fil-a,Breakfast,Oatmeal,Multigrain Oatmeal,140,27,3,0,0,0,45,28,4,4,0
Chick-fil-a,Breakfast,Oatmeal,Multigrain Oatmeal w/ Fruit,140,27,3,0,0,0,45,29,4,5,0
Chick-fil-a,Breakfast,Pastry,Cinnamon Cluster,430,150,17,7,0,30,240,63,2,29,7
Chick-fil-a,Breakfast,Sandwich,"Bacon, Egg & Cheese Biscuit",500,240,27,13,0,230,1390,44,2,6,21
Chick-fil-a,Breakfast,Sandwich,Chick-n-Minis 3 Piece,280,90,10,3,0,40,650,30,1,5,16
Chick-fil-a,Breakfast,Sandwich,Chick-n-Minis 4 Piece,370,130,14,4,0,50,870,41,2,7,21
Chick-fil-a,Breakfast,Sandwich,Chicken Biscuit,440,180,20,8,0,25,1230,47,3,6,17
Chick-fil-a,Breakfast,Sandwich,Chicken Breakfast Burrito,450,180,20,8,0,260,990,43,2,3,24
Chick-fil-a,Breakfast,Sandwich,Chicken Platter,680,333,37,13,0,375,1920,58,2,7,30
Chick-fil-a,Breakfast,Sandwich,"Chicken, Egg & Cheese on Sunflower Multigrain Bagel",490,180,20,6,0,240,1230,49,3,8,29
Chick-fil-a,Breakfast,Sandwich,Egg & Cheese English Muffin Bacon,300,108,12,5,0,170,710,32,1,1,16
Chick-fil-a,Breakfast,Sandwich,Egg & Cheese English Muffin Sausage,490,270,30,12,0,200,990,32,2,1,20
Chick-fil-a,Breakfast,Sandwich,Egg White Grill,300,63,7,3,0,55,970,31,1,1,25
Chick-fil-a,Breakfast,Sandwich,Sausage Breakfast Burrito,510,250,28,12,0,270,990,40,2,3,23
Chick-fil-a,Breakfast,Sandwich,Sausage Egg and Cheese Biscuit,670,396,44,19,0,225,1470,44,2,5,23
Chick-fil-a,Breakfast,Sandwich,Spicy Chicken Biscuit,450,180,20,8,0,30,1300,50,2,5,16
Chick-fil-a,Chicken,Meal,Chick-n-Strips Kid's Meal 1 Piece,120,54,6,1,0,30,330,5,0,1,11
Chick-fil-a,Chicken,Meal,Chick-n-Strips Kid's Meal 2 Piece,240,108,12,2.5,0,55,660,11,1,1,22
Chick-fil-a,Chicken,Meal,Grilled Nuggets Kid's Meal (4) 4 Piece,70,18,2,0.5,0,35,270,35,0,0,11
Chick-fil-a,Chicken,Meal,Grilled Nuggets Kid's Meal (4) 6 Piece,100,27,3,1,0,55,400,3,0,1,17
Chick-fil-a,Chicken,Meal,Nuggets Kid's Meal 4 Piece,130,54,6,1.5,0,35,530,5,0,1,14
Chick-fil-a,Chicken,Meal,Nuggets Kid's Meal 6 Piece,200,90,10,2,0,55,790,7,1,1,21
Chick-fil-a,Chicken,Milk,Chocolate Milk,150,27,3,1.5,0,10,170,26,1,23,7
Chick-fil-a,Chicken,Nuggets,Grilled Chicken Nuggets,140,27,3,1,0,70,530,4,0,1,23
Chick-fil-a,Chicken,Nuggets,Nuggets,260,110,12,3,0,70,990,11,1,1,28
Chick-fil-a,Chicken,Tender,Chick-n-Strips,360,150,17,4,0,80,1230,17,1,2,34
Chick-fil-a,Condiment,Sauce,Barbecue Sauce,45,0,0,0,0,0,180,11,0,9,0
Chick-fil-a,Condiment,Sauce,Buffalo Sauce,10,5,0,0,0,0,420,1,0,0,0
Chick-fil-a,Condiment,Sauce,Buttermilk Ranch Sauce,110,110,12,2,0,5,200,1,0,1,0
Chick-fil-a,Condiment,Sauce,Chick-fil-A Sauce,140,110,13,2,0,10,170,6,0,6,0
Chick-fil-a,Condiment,Sauce,Honey Mustard Sauce,45,5,0,0,0,0,150,11,0,10,0
Chick-fil-a,Condiment,Sauce,Honey Roasted BBQ Sauce,60,50,5,1,0,5,70,2,0,2,0
Chick-fil-a,Condiment,Sauce,Polynesian Sauce,110,50,6,1,0,0,210,14,0,5,0
Chick-fil-a,Dessert,Cookie,Chocolate Chunk Cookie,330,126,14,8,0,15,230,45,2,27,4
Chick-fil-a,Dessert,Ice Cream,Icedream Ice Cream Cone,170,35,4,2,0,15,115,31,0,25,5
Chick-fil-a,Dessert,Ice Cream,Icedream Ice Cream Cup,290,70,7,5,0,25,200,50,0,49,8
Chick-fil-a,Dessert,Shake,Chocolate Milkshake Large,750,250,28,17,0,95,520,113,1,108,16
